block_number,ts,gas_used,gas_limit,tx_count,avg_priority_fee_gwei
23936523,2025-12-03 16:45:35-08,44865180,59999943,388,0.386916240278626
23936524,2025-12-03 16:45:47-08,19125311,59941351,149,0.8164490548712121
23936525,2025-12-03 16:45:59-08,17070003,59999886,168,0.9643810558311688
23936526,2025-12-03 16:46:11-08,16791207,59941294,156,1.647676856036232
23936527,2025-12-03 16:46:23-08,24392175,59999829,175,0.6821952576350365
23936528,2025-12-03 16:46:35-08,57751913,60000000,419,0.6867070098964286
23936529,2025-12-03 16:46:47-08,8556011,59941408,177,0.3872104478321168
23936530,2025-12-03 16:46:59-08,56680207,59882873,2046,0.411387457008
23936531,2025-12-03 16:47:11-08,25339856,59824395,223,1.6483090730869565
23936532,2025-12-03 16:47:23-08,58415315,59882816,371,0.6862556442356902
23936533,2025-12-03 16:47:35-08,30663558,59941294,354,0.5617783497676471
23936534,2025-12-03 16:47:47-08,14757115,59999829,107,1.530341160336842
23936535,2025-12-03 16:47:59-08,31632852,60000000,272,0.621977712005
23936536,2025-12-03 16:48:11-08,31550534,60000000,333,0.7423756498436214
23936537,2025-12-03 16:48:35-08,7260662,60000000,126,0.9807985796938776
23936538,2025-12-03 16:48:47-08,20066116,59941408,192,0.9422063602443181
23936539,2025-12-03 16:48:59-08,27132485,59999943,221,0.8776040020909092
23936540,2025-12-03 16:49:11-08,57353314,60000000,450,0.5120677554933775
23936541,2025-12-03 16:49:23-08,23099864,60000000,267,0.29703941093133046
23936542,2025-12-03 16:49:35-08,56506227,60000000,187,0.7240668930684931
23936543,2025-12-03 16:49:47-08,33749511,60000000,215,0.4548240876954315
23936544,2025-12-03 16:49:59-08,27420513,60000000,235,0.5141143693930348
23936545,2025-12-03 16:50:11-08,25236679,59941408,120,0.548345836079208
23936546,2025-12-03 16:50:23-08,18062883,59999943,147,0.9739168698796993
23936547,2025-12-03 16:50:35-08,45675994,60000000,402,0.33802098460472974
23936548,2025-12-03 16:50:47-08,42059617,60000000,239,0.5424925173564357
23936549,2025-12-03 16:50:59-08,19568819,60000000,170,0.5437537943945578
23936550,2025-12-03 16:51:11-08,24879980,60000000,261,0.4904892554150943
23936551,2025-12-03 16:51:23-08,32109584,60000000,212,0.6464483377916667
23936552,2025-12-03 16:51:35-08,32534200,60000000,156,0.5237204266466166
23936553,2025-12-03 16:51:47-08,25373372,60000000,203,0.5693351151304348
23936554,2025-12-03 16:51:59-08,24500358,60000000,189,0.6062845785297619
23936555,2025-12-03 16:52:11-08,27107052,59941408,247,0.7785891768385417
23936556,2025-12-03 16:52:23-08,19538696,59999943,202,0.9814145290773809
23936557,2025-12-03 16:52:35-08,46271314,60000000,251,0.50802159989
23936558,2025-12-03 16:52:47-08,35562718,60000000,278,0.6417149071062802
23936559,2025-12-03 16:52:59-08,23207290,60000000,230,0.5782777712606384
23936560,2025-12-03 16:53:11-08,10490462,59941408,94,1.0406101308607596
23936561,2025-12-03 16:53:23-08,58879290,59882873,372,0.5127057377668711
23936562,2025-12-03 16:53:35-08,33239059,59941351,172,0.674148245452381
23936563,2025-12-03 16:53:59-08,52946136,59999886,383,0.5431641832039106
23936564,2025-12-03 16:54:11-08,30409404,60000000,275,1.3381907227871486
23936565,2025-12-03 16:54:23-08,23625088,60000000,254,0.597989440144186
23936566,2025-12-03 16:54:35-08,10817095,60000000,222,1.0960434178122065
23936567,2025-12-03 16:54:47-08,51124891,60000000,386,0.432074067672
23936568,2025-12-03 16:54:59-08,15876683,60000000,171,0.41455485903067485
23936569,2025-12-03 16:55:11-08,22045957,60000000,162,0.8183399969054054
23936570,2025-12-03 16:55:23-08,36658374,59941408,300,0.5498135265485075
23936571,2025-12-03 16:55:35-08,21205261,59999943,169,0.8843699146709677
23936572,2025-12-03 16:55:47-08,15595649,60000000,205,0.5194230615909091
23936573,2025-12-03 16:55:59-08,21989719,59941408,299,0.29594274996031744
23936574,2025-12-03 16:56:11-08,53882343,59999943,355,0.6298383437157191
23936575,2025-12-03 16:56:23-08,14482407,60000000,149,0.5451585141549296
23936576,2025-12-03 16:56:35-08,53011631,60000000,286,0.5140917282676056
23936577,2025-12-03 16:56:47-08,20767256,59941408,142,0.9896294834272726
